epoch,E_Output_loss,E_Output_masked_1c_corr_metric_2ch,E_Output_masked_1c_rmse_metric_2ch,N_Output_loss,N_Output_masked_1c_corr_metric_2ch,N_Output_masked_1c_rmse_metric_2ch,Z_Output_loss,Z_Output_masked_1c_corr_metric_2ch,Z_Output_masked_1c_rmse_metric_2ch,loss,val_E_Output_loss,val_E_Output_masked_1c_corr_metric_2ch,val_E_Output_masked_1c_rmse_metric_2ch,val_N_Output_loss,val_N_Output_masked_1c_corr_metric_2ch,val_N_Output_masked_1c_rmse_metric_2ch,val_Z_Output_loss,val_Z_Output_masked_1c_corr_metric_2ch,val_Z_Output_masked_1c_rmse_metric_2ch,val_loss,val_total_corr
37,0.43224266171455383,0.8571687936782837,0.6534135341644287,0.4329564869403839,0.8559474349021912,0.6538428068161011,0.3865005075931549,0.8609431385993958,0.6178271770477295,1.251517653465271,0.4538102149963379,0.8542085289955139,0.6683239340782166,0.4481349289417267,0.8552704453468323,0.6638240218162537,0.4036560356616974,0.8592166304588318,0.6302641034126282,1.3063730001449585,2.568695604801178
38,0.43237364292144775,0.8570408225059509,0.6531776785850525,0.4304749369621277,0.8568928241729736,0.6517678499221802,0.38448914885520935,0.8612989187240601,0.6159577965736389,1.2477715015411377,0.4524586498737335,0.8548498749732971,0.6671876311302185,0.4602105915546417,0.8527461886405945,0.6727455258369446,0.39912787079811096,0.8606504201889038,0.6267983317375183,1.3125685453414917,2.5682464838027954
39,0.4377692639827728,0.8568190932273865,0.6572901606559753,0.43907812237739563,0.8554627299308777,0.6582252979278564,0.38987836241722107,0.8609635233879089,0.6203726530075073,1.2677642107009888,0.44733092188835144,0.8566406965255737,0.6635122895240784,0.44906681776046753,0.8552858233451843,0.6644678115844727,0.39971810579299927,0.8604282736778259,0.6273391246795654,1.2968757152557373,2.572354793548584
40,0.435893714427948,0.8574457168579102,0.6563553214073181,0.43573999404907227,0.8565083742141724,0.6559268236160278,0.3902823328971863,0.8606547713279724,0.6213175058364868,1.2625199556350708,0.4459373652935028,0.8574119806289673,0.6624072790145874,0.4496583342552185,0.8554723858833313,0.6648429036140442,0.40341049432754517,0.8603782057762146,0.6301502585411072,1.2997921705245972,2.573262572288513
41,0.433258593082428,0.8567138314247131,0.6534014940261841,0.4301236867904663,0.8567475080490112,0.6507999897003174,0.3857935667037964,0.8608606457710266,0.6166788339614868,1.2477902173995972,0.44561058282852173,0.8575618267059326,0.6622489094734192,0.4635971486568451,0.8548352718353271,0.675255537033081,0.40493226051330566,0.8614829182624817,0.6314125657081604,1.3149144649505615,2.5738800168037415
42,0.4259336292743683,0.8602534532546997,0.6479562520980835,0.4262687563896179,0.8592996001243591,0.64804607629776,0.38127368688583374,0.864025354385376,0.612962543964386,1.234893798828125,0.4494854807853699,0.8561347723007202,0.6652266383171082,0.43954694271087646,0.8583449721336365,0.6573815941810608,0.398398220539093,0.8622023463249207,0.626305341720581,1.2881841659545898,2.5766820907592773
43,0.4350034296512604,0.8577669858932495,0.6551820635795593,0.4316957890987396,0.857988715171814,0.6524611115455627,0.38815838098526,0.862083911895752,0.618881344795227,1.2558046579360962,0.4374266266822815,0.8601832389831543,0.6560339331626892,0.4375365674495697,0.859408438205719,0.655821681022644,0.393435537815094,0.8629246950149536,0.6222972273826599,1.2691420316696167,2.582516372203827
44,0.424249529838562,0.8602384924888611,0.6474394798278809,0.4233478009700775,0.8595909476280212,0.6465349197387695,0.3801412284374237,0.8636775016784668,0.612852931022644,1.2273083925247192,0.4441309869289398,0.8576450943946838,0.6611157059669495,0.4358723759651184,0.8599642515182495,0.6545479893684387,0.3916115164756775,0.8644737005233765,0.6208865642547607,1.2723681926727295,2.58208304643631
45,0.4238823354244232,0.8590052723884583,0.6468304991722107,0.4201246500015259,0.859475314617157,0.6436031460762024,0.37745699286460876,0.8633774518966675,0.6102683544158936,1.2192163467407227,0.43433672189712524,0.8611551523208618,0.653593122959137,0.4306347072124481,0.8614048361778259,0.6506296396255493,0.3873593211174011,0.8650973439216614,0.617516279220581,1.2530784606933594,2.587657332420349
46,0.4183245003223419,0.8619038462638855,0.642170250415802,0.41579973697662354,0.8618710041046143,0.6400909423828125,0.37308448553085327,0.8658074736595154,0.6066235899925232,1.2072882652282715,0.4330247640609741,0.8615274429321289,0.6527382135391235,0.4311012923717499,0.8612099289894104,0.65096116065979,0.3884313404560089,0.8653189539909363,0.6183505058288574,1.2533057928085327,2.5880563259124756
47,0.42824843525886536,0.8607234358787537,0.6500574350357056,0.4247150719165802,0.8608017563819885,0.6471487879753113,0.38275015354156494,0.8641182780265808,0.614575982093811,1.2348918914794922,0.4313866198062897,0.8629528880119324,0.6515410542488098,0.4248464107513428,0.863300085067749,0.6462097764015198,0.3858089745044708,0.866010844707489,0.6163941621780396,1.2427741289138794,2.5922638177871704
48,0.4203794002532959,0.8615912795066833,0.644230842590332,0.4166279733181,0.8619101643562317,0.6412978172302246,0.37471693754196167,0.8654726147651672,0.6081944108009338,1.213027000427246,0.4299677610397339,0.8632266521453857,0.6503804922103882,0.4241335093975067,0.8635730147361755,0.6456432938575745,0.3873600661754608,0.8652482628822327,0.6175507307052612,1.2422038316726685,2.592047929763794
49,0.41869601607322693,0.8626829385757446,0.6430945992469788,0.41280803084373474,0.8638268113136292,0.6382147669792175,0.3719629645347595,0.8669773936271667,0.6063578724861145,1.2042372226715088,0.4266398549079895,0.8637700080871582,0.6478739380836487,0.42275291681289673,0.864279568195343,0.6445724964141846,0.3855036199092865,0.8661891222000122,0.6161143779754639,1.2356230020523071,2.5942386984825134
50,0.408413290977478,0.8654558658599854,0.6359047889709473,0.40560394525527954,0.8659162521362305,0.6334885954856873,0.3639560341835022,0.8694257736206055,0.6003140211105347,1.1788023710250854,0.4257877469062805,0.8639129400253296,0.6472070813179016,0.42814430594444275,0.8620345592498779,0.6488377451896667,0.386762410402298,0.8666529655456543,0.6170130372047424,1.2414392232894897,2.592600464820862
51,0.40954193472862244,0.86468106508255,0.6360068917274475,0.4038911759853363,0.8659183979034424,0.6313755512237549,0.36540135741233826,0.8686456084251404,0.6008408665657043,1.1793650388717651,0.42378732562065125,0.8648706078529358,0.6456387042999268,0.41946086287498474,0.8653157949447632,0.6420668959617615,0.3873092234134674,0.8662025928497314,0.6174677610397339,1.231299877166748,2.5963889956474304
52,0.41404399275779724,0.8631724119186401,0.6398970484733582,0.4052042067050934,0.865379273891449,0.6329349875450134,0.36842817068099976,0.8674310445785522,0.6036539077758789,1.1863397359848022,0.42277848720550537,0.8651553988456726,0.6449406147003174,0.42126575112342834,0.8663747906684875,0.6435641050338745,0.3818921446800232,0.867806077003479,0.613280177116394,1.226668119430542,2.599336266517639
53,0.4066031575202942,0.8663089871406555,0.6335153579711914,0.39999717473983765,0.8682030439376831,0.6281811594963074,0.3621033728122711,0.8705005049705505,0.597840428352356,1.168718695640564,0.4265606701374054,0.8639371991157532,0.6477841138839722,0.424254447221756,0.8654607534408569,0.6458398699760437,0.38072752952575684,0.8681679368019104,0.6122944355010986,1.2322673797607422,2.5975658893585205
54,0.40358850359916687,0.867954432964325,0.6308436989784241,0.3981770873069763,0.8692895770072937,0.6263589859008789,0.3613820970058441,0.8713464736938477,0.5969693064689636,1.1644600629806519,0.41845256090164185,0.8667274117469788,0.6416295766830444,0.41691872477531433,0.8668847680091858,0.6400875449180603,0.3873976469039917,0.8656129837036133,0.6176392436027527,1.2234879732131958,2.599225163459778
55,0.3971925377845764,0.8677138686180115,0.6261118054389954,0.3894239068031311,0.8695964217185974,0.6197635531425476,0.3553825914859772,0.8710789680480957,0.5921796560287476,1.1426422595977783,0.42281296849250793,0.8651087880134583,0.6449795365333557,0.4140785336494446,0.8671100735664368,0.6378792524337769,0.3773939311504364,0.8688957691192627,0.6094962954521179,1.215014100074768,2.6011146306991577
56,0.40455496311187744,0.8663166761398315,0.6323599219322205,0.39462414383888245,0.8691526651382446,0.624430239200592,0.36175087094306946,0.8700594902038574,0.5978866219520569,1.1620771884918213,0.417391300201416,0.8667742013931274,0.6408559083938599,0.40821969509124756,0.8690959215164185,0.6333878040313721,0.378024160861969,0.8693286180496216,0.6100746989250183,1.204345703125,2.6051987409591675
57,0.40307968854904175,0.8668955564498901,0.6311619281768799,0.39054059982299805,0.8702342510223389,0.6211957335472107,0.35624951124191284,0.8714922070503235,0.5935656428337097,1.1486550569534302,0.4182193875312805,0.8666740655899048,0.6414363384246826,0.4097066819667816,0.868495762348175,0.634529709815979,0.37343281507492065,0.870326578617096,0.6063870787620544,1.2020788192749023,2.605496406555176
58,0.41136395931243896,0.8639233112335205,0.6375340819358826,0.4018787145614624,0.8663449287414551,0.6299676895141602,0.36668890714645386,0.8677689433097839,0.6019200682640076,1.1805806159973145,0.4187144935131073,0.8669350743293762,0.6418067216873169,0.4086625874042511,0.8689683675765991,0.6336109042167664,0.37468239665031433,0.8703768849372864,0.6073923110961914,1.2027888298034668,2.6062803268432617
59,0.39964112639427185,0.8674361109733582,0.6284812688827515,0.38760626316070557,0.8710975646972656,0.6185161471366882,0.3540034890174866,0.8720889687538147,0.5913488864898682,1.140525221824646,0.4139837622642517,0.8679791688919067,0.6381571292877197,0.4027668237686157,0.8710740804672241,0.6290668845176697,0.37242767214775085,0.8715550899505615,0.6054882407188416,1.1898839473724365,2.6106083393096924
60,0.40717628598213196,0.8661518692970276,0.633750319480896,0.3939830958843231,0.8699261546134949,0.6231853365898132,0.36248713731765747,0.8703092336654663,0.5980353355407715,1.1606247425079346,0.42308181524276733,0.8674614429473877,0.6453754305839539,0.40438637137413025,0.8707248568534851,0.630455493927002,0.37444576621055603,0.8711690902709961,0.6072768568992615,1.2026331424713135,2.609355390071869
61,0.3950895369052887,0.8709821701049805,0.6247016191482544,0.38245412707328796,0.8746853470802307,0.6142691969871521,0.3538520932197571,0.8743310570716858,0.5911260843276978,1.131829857826233,0.4126695394515991,0.868767261505127,0.6371305584907532,0.40183964371681213,0.8721240162849426,0.628451943397522,0.36925745010375977,0.8720492124557495,0.602990448474884,1.1844592094421387,2.612940490245819
